song,artist,genre
Nxde,(여자)아이들,댄스
ANTIFRAGILE,LE SSERAFIM (르세라핌),댄스
사건의 지평선,윤하 (YOUNHA),록/메탈
새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),랩/힙합
After LIKE,IVE (아이브),댄스
Hype boy,NewJeans,댄스
Rush Hour (Feat. j-hope of BTS),Crush,R&B/Soul
Attention,NewJeans,댄스
Shut Down,BLACKPINK,랩/힙합
Monologue,테이,발라드
LOVE DIVE,IVE (아이브),댄스
Pink Venom,BLACKPINK,랩/힙합
자격지심 (Feat. ZICO),BE'O (비오),랩/힙합
딱 10CM만,"10CM, BIG Naughty (서동현)",R&B/Soul
우린 그렇게 사랑해서,"강민경 (다비치), 잔나비 최정훈",발라드
그때 그 순간 그대로 (그그그),WSG워너비 (가야G),발라드
그라데이션,10CM,"인디음악, 포크/블루스"
해요 (2022),#안녕,"발라드, 인디음악"
TOMBOY,(여자)아이들,록/메탈
Cookie,NewJeans,댄스
사랑인가 봐,멜로망스,"발라드, 국내드라마"
내가 아니라도,주호,발라드
정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),R&B/Soul
보고싶었어,WSG워너비 (4FIRE),R&B/Soul
사랑은 늘 도망가,임영웅,"발라드, 국내드라마"
너의 모든 순간,성시경,"발라드, 국내드라마"
나의 X에게,경서,발라드
취중고백,김민석 (멜로망스),발라드
FEARLESS,LE SSERAFIM (르세라핌),댄스
FOREVER 1,소녀시대 (GIRLS' GENERATION),댄스
ELEVEN,IVE (아이브),댄스
That's Hilarious,Charlie Puth,POP
LAW (Prod. Czaer),"윤미래, 비비 (BIBI)",랩/힙합
내 기쁨은 너가 벤틀리를 끄는 거야,김승민,랩/힙합
LOVE me,BE'O (비오),랩/힙합
That That (prod. & feat. SUGA of BTS),싸이 (PSY),댄스
다정히 내 이름을 부르면,"경서예지, 전건호",발라드
SNEAKERS,ITZY (있지),댄스
I Don't Think That I Like Her,Charlie Puth,POP
새벽에 걸려온 너의 전화는,한동근,발라드
우리들의 블루스,임영웅,발라드
Love story,볼빨간사춘기,"인디음악, 포크/블루스"
도깨비불 (Illusion),aespa,댄스
밤하늘의 별을(2020),경서,발라드
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
떠나보낼 준비해 둘걸 그랬어,임한별,발라드
POP!,나연 (TWICE),댄스
봄여름가을겨울 (Still Life),BIGBANG (빅뱅),록/메탈
주저하는 연인들을 위해,잔나비,"인디음악, 록/메탈"
STAY,"The Kid LAROI, Justin Bieber",POP
그래서 그대는,이영현,발라드
사랑한다고 말해줘,탑현,발라드
못해,김나영,발라드
스티커 사진,21학번,"발라드, 인디음악"
Dynamite,방탄소년단,댄스
통화연결음,"보라미유, MJ (써니사이드)",발라드
신호등,이무진,록/메탈
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, 정국, 방탄소년단",POP
다시 만날 수 있을까,임영웅,발라드
strawberry moon,아이유,록/메탈
Feel My Rhythm,Red Velvet (레드벨벳),댄스
INVU,태연 (TAEYEON),댄스
내 손을 잡아,아이유,"발라드, 국내드라마"
바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈,발라드
DICE,NMIXX,댄스
드라마,아이유,발라드
늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),발라드
Girls,aespa,댄스
MY BAG,(여자)아이들,랩/힙합
Off My Face,Justin Bieber,POP
Butter,방탄소년단,댄스
Next Level,aespa,댄스
"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,랩/힙합
이제 나만 믿어요,임영웅,성인가요/트로트
너를 생각해,주시크 (Joosiq),"R&B/Soul, 인디음악"
I Ain't Worried,OneRepublic,국외영화
GANADARA (Feat. 아이유),박재범,R&B/Soul
봄날,방탄소년단,랩/힙합
Talk that Talk,TWICE (트와이스),댄스
Permission to Dance,방탄소년단,댄스
무지개,임영웅,록/메탈
듣고 싶을까,MSG워너비(M.O.M),발라드
Yet To Come,방탄소년단,랩/힙합
아무래도 난,주시크 (Joosiq),"R&B/Soul, 인디음악"
Weekend,태연 (TAEYEON),댄스
고백연습,경서,발라드
SMILEY (Feat. BIBI),YENA (최예나),댄스
아버지,임영웅,발라드
Celebrity,아이유,댄스
첫사랑,백아,"인디음악, 포크/블루스"
The Astronaut,진,록/메탈
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드
OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)",랩/힙합
A bientot,임영웅,랩/힙합
가을밤에 든 생각,잔나비,"인디음악, 록/메탈"
손이 참 곱던 그대,임영웅,재즈
인생찬가,임영웅,발라드
진심이었던 사람만 바보가 돼,권진아,발라드
가을 타나 봐,바이브,발라드
바라만 본다,MSG워너비(M.O.M),발라드
